The calculation of time series is done!
Total route number:  24
Sparsity of adj:  0.041666666666666664
The weighted matrix of temporal graph is generated!
The shape of localized adjacency matrix: (96, 96)
begin training
| end of epoch 225 | time: 11.67s | train_loss 68.2489 | valid mse 6.0526
| end of epoch 226 | time: 11.46s | train_loss 65.9199 | valid mse 6.0867
| end of epoch 227 | time: 11.15s | train_loss 67.7878 | valid mse 6.4042
| end of epoch 228 | time: 10.88s | train_loss 68.2954 | valid mse 5.9801
| end of epoch 229 | time: 10.24s | train_loss 67.9140 | valid mse 6.0070
| end of epoch 230 | time: 10.54s | train_loss 65.8241 | valid mse 6.0490
| end of epoch 231 | time: 10.49s | train_loss 70.5098 | valid mse 7.2731
| end of epoch 232 | time: 10.76s | train_loss 69.0254 | valid mse 5.9344
| end of epoch 233 | time: 10.48s | train_loss 68.5132 | valid mse 6.3025
| end of epoch 234 | time: 10.75s | train_loss 68.6744 | valid mse 6.1949
| end of epoch 235 | time: 10.58s | train_loss 68.7345 | valid mse 6.0141
| end of epoch 236 | time: 11.92s | train_loss 70.0122 | valid mse 5.9500
| end of epoch 237 | time: 12.12s | train_loss 68.4959 | valid mse 5.9848
| end of epoch 238 | time: 11.02s | train_loss 66.7691 | valid mse 6.1952
| end of epoch 239 | time:  9.91s | train_loss 63.9918 | valid mse 7.3025
| end of epoch 240 | time: 10.03s | train_loss 82.9024 | valid mse 50.8899
| end of epoch 241 | time: 10.12s | train_loss 84.4396 | valid mse 7.1972
| end of epoch 242 | time: 10.44s | train_loss 66.1547 | valid mse 5.8746
| end of epoch 243 | time: 10.27s | train_loss 67.0215 | valid mse 6.1705
| end of epoch 244 | time: 10.00s | train_loss 67.2612 | valid mse 5.9780
| end of epoch 245 | time:  9.83s | train_loss 66.7325 | valid mse 6.0285
| end of epoch 246 | time:  9.77s | train_loss 69.3246 | valid mse 5.9504
| end of epoch 247 | time: 10.72s | train_loss 71.9767 | valid mse 5.8248
| end of epoch 248 | time: 11.63s | train_loss 67.9803 | valid mse 6.5124
| end of epoch 249 | time: 11.34s | train_loss 68.3957 | valid mse 5.8393
| end of epoch 250 | time: 10.32s | train_loss 66.9754 | valid mse 5.7894
| end of epoch 251 | time: 10.62s | train_loss 64.3970 | valid mse 5.7884
| end of epoch 252 | time: 10.82s | train_loss 67.2962 | valid mse 5.7720
| end of epoch 253 | time: 10.63s | train_loss 64.0305 | valid mse 5.7004
| end of epoch 254 | time: 10.55s | train_loss 63.5381 | valid mse 5.6941
| end of epoch 255 | time: 10.57s | train_loss 65.9540 | valid mse 5.7109
| end of epoch 256 | time: 10.48s | train_loss 64.6367 | valid mse 5.7061
| end of epoch 257 | time: 10.56s | train_loss 65.5945 | valid mse 5.7808
| end of epoch 258 | time: 11.45s | train_loss 64.7157 | valid mse 5.5959
| end of epoch 259 | time: 12.08s | train_loss 65.0348 | valid mse 5.6478
| end of epoch 260 | time: 12.18s | train_loss 63.8303 | valid mse 5.6589
| end of epoch 261 | time:  9.77s | train_loss 64.6126 | valid mse 5.6757
| end of epoch 262 | time: 10.10s | train_loss 64.7191 | valid mse 5.5959
| end of epoch 263 | time:  9.89s | train_loss 64.1392 | valid mse 5.5717
| end of epoch 264 | time: 10.32s | train_loss 64.6086 | valid mse 5.5837
| end of epoch 265 | time: 10.47s | train_loss 64.2879 | valid mse 5.5620
| end of epoch 266 | time: 10.34s | train_loss 65.2482 | valid mse 5.5897
| end of epoch 267 | time:  9.86s | train_loss 65.2749 | valid mse 5.6729
| end of epoch 268 | time:  9.79s | train_loss 63.1197 | valid mse 5.5255
| end of epoch 269 | time:  9.85s | train_loss 63.7529 | valid mse 5.5205
| end of epoch 270 | time: 11.72s | train_loss 63.8641 | valid mse 5.9163
| end of epoch 271 | time: 11.87s | train_loss 63.4638 | valid mse 5.5383
| end of epoch 272 | time: 10.97s | train_loss 62.6864 | valid mse 5.5055
| end of epoch 273 | time: 10.24s | train_loss 63.8521 | valid mse 5.5923
| end of epoch 274 | time: 10.56s | train_loss 63.4194 | valid mse 5.4939
| end of epoch 275 | time: 10.35s | train_loss 63.3842 | valid mse 5.4467
| end of epoch 276 | time: 10.45s | train_loss 63.1232 | valid mse 5.4802
| end of epoch 277 | time: 10.68s | train_loss 64.1202 | valid mse 5.5303
| end of epoch 278 | time: 10.94s | train_loss 63.3477 | valid mse 5.5886
| end of epoch 279 | time: 10.51s | train_loss 63.4181 | valid mse 5.4557
| end of epoch 280 | time: 10.79s | train_loss 63.7677 | valid mse 5.4627
| end of epoch 281 | time: 10.51s | train_loss 63.4870 | valid mse 5.4057
| end of epoch 282 | time: 10.73s | train_loss 63.6568 | valid mse 5.3831
| end of epoch 283 | time: 10.84s | train_loss 63.2138 | valid mse 5.3602
| end of epoch 284 | time: 10.43s | train_loss 63.7801 | valid mse 5.3846
| end of epoch 285 | time: 11.00s | train_loss 62.7151 | valid mse 5.3935
| end of epoch 286 | time: 10.73s | train_loss 64.3540 | valid mse 5.3541
| end of epoch 287 | time: 10.37s | train_loss 63.2354 | valid mse 5.3819
| end of epoch 288 | time: 10.31s | train_loss 63.6000 | valid mse 5.4674
| end of epoch 289 | time: 10.29s | train_loss 63.3878 | valid mse 5.3583
| end of epoch 290 | time:  9.99s | train_loss 62.7620 | valid mse 5.3988
| end of epoch 291 | time: 10.07s | train_loss 63.0489 | valid mse 5.3386
| end of epoch 292 | time: 10.96s | train_loss 63.4522 | valid mse 5.3735
| end of epoch 293 | time: 11.08s | train_loss 62.6531 | valid mse 5.3235
| end of epoch 294 | time: 10.91s | train_loss 63.0141 | valid mse 5.3058
| end of epoch 295 | time: 10.24s | train_loss 62.5863 | valid mse 5.3277
| end of epoch 296 | time: 10.78s | train_loss 62.7427 | valid mse 5.3462
| end of epoch 297 | time: 10.68s | train_loss 63.1929 | valid mse 5.3279
| end of epoch 298 | time: 10.00s | train_loss 62.5423 | valid mse 5.3030
| end of epoch 299 | time: 10.12s | train_loss 62.5071 | valid mse 5.2865
| end of epoch 300 | time: 10.40s | train_loss 63.2279 | valid mse 5.2984
| end of epoch 301 | time: 10.85s | train_loss 62.7757 | valid mse 5.2638
| end of epoch 302 | time: 11.09s | train_loss 62.2118 | valid mse 5.2968
| end of epoch 303 | time: 10.79s | train_loss 62.0584 | valid mse 5.3223
| end of epoch 304 | time: 11.64s | train_loss 62.4502 | valid mse 5.2794
| end of epoch 305 | time: 11.35s | train_loss 62.8331 | valid mse 5.2704
| end of epoch 306 | time: 10.55s | train_loss 62.0966 | valid mse 5.2998
| end of epoch 307 | time: 10.35s | train_loss 62.4269 | valid mse 5.2671
| end of epoch 308 | time: 10.31s | train_loss 62.3328 | valid mse 5.2648
